Paper Number,Paper Venue,Keywords,Paper Link,Authors,Citation (BibTeX),Paper Name,Figure of Widget(s),Size,Quantity,Physicalization,Tangible-Virtual Mapping,Inherent Material Properties,Material Properties,Physical Form,Description of the Physical Form,Functional Shape,Description of the Functional Shape,Manipulation Method,Interaction Type,Interaction Description,Where the Interaction Happens,Input Type of Interaction,Input Description,Task Content,Task Entity's Representation,Description of the Task Entity's Representation,Description of the Output on Task Entity,Task Environment,Task-Interaction-Widget Mapping,Accessible Distance between User and Visualization Widget(s),Impact of Distance Change between User and Visualization Widget(s),Accessible Distance between User and Task Entity,Impact of Distance Change between User and Task Entity,Spatial Integration between Task Entity and Visualization Widget(s),Description of Spatial Integration between Task Entity and Visualization Widget(s)
12,TVCG,3D Interaction,https://ieeexplore.ieee.org/document/6651934,"Jackson, Bret and Lau, Tung Yuen and Schroeder, David and Toussaint, Kimani C. and Keefe, Daniel F.","@ARTICLE{6651934,
  author={Jackson, Bret and Lau, Tung Yuen and Schroeder, David and Toussaint, Kimani C. and Keefe, Daniel F.},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures}, 
  year={2013},
  volume={19},
  number={12},
  pages={2802-2809},
  keywords={Three dimensional displays;Data visualization;Microscopy;Three dimensional displays;Data visualization;Microscopy;microscopy visualization;Scientific visualization;3D interaction;tangible interaction},
  doi={10.1109/TVCG.2013.121}}",A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures,,Small,Single,A tangible widget,N/A,Rigid,No use,Slender body,A pen-shaped rolled paper (pen-shaped and lightweight handheld prop),Straight edge,The line along pen-shaped rolled paper (pen-shaped and lightweight handheld prop),One-handed,Rotating,Moving a pen-shaped rolled paper (pen-shaped and lightweight handheld prop) in space to change the orientation for filtering the 3D visualization.,above the horizontal surface,Rotation,Physical widget: 3DOF rotation in the space.,Modulating,3D,3D fiber volume rendering,The 3D visualization of filtered fiber volume data displayed in the stereoscopic screen.,Stereoscopic screen,Use a slender body to modulate a 3D fiber volume rendering by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Unreachable,Not impacted within the accessible distance.,Discrete,"1. The pen-shaped rolled paper (pen-shaped and lightweight handheld prop) is in user's hand.
2. The pen-shaped rolled paper (pen-shaped and lightweight handheld prop) is discrete from the 3D visualization.
3. The 3D visualization is away from the user."
12,TVCG,3D Interaction,https://ieeexplore.ieee.org/document/6651934,"Jackson, Bret and Lau, Tung Yuen and Schroeder, David and Toussaint, Kimani C. and Keefe, Daniel F.","@ARTICLE{6651934,
  author={Jackson, Bret and Lau, Tung Yuen and Schroeder, David and Toussaint, Kimani C. and Keefe, Daniel F.},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures}, 
  year={2013},
  volume={19},
  number={12},
  pages={2802-2809},
  keywords={Three dimensional displays;Data visualization;Microscopy;Three dimensional displays;Data visualization;Microscopy;microscopy visualization;Scientific visualization;3D interaction;tangible interaction},
  doi={10.1109/TVCG.2013.121}}",A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures,,Small,Single,A tangible widget,N/A,Rigid,No use,Slender body,A pen-shaped rolled paper (pen-shaped and lightweight handheld prop),Body,A pen-shaped rolled paper (pen-shaped and lightweight handheld prop),Symmetric,Positioning+Rotating,Moving a pen-shaped rolled paper (pen-shaped and lightweight handheld prop) in space using two hands for manipulating the 3D visualization.,above the horizontal surface,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Translating/Rotating/Scaling,3D,3D fiber volume rendering,The position and rotation of the 3D visualization of fiber volume data displayed in the stereoscopic screen.,Stereoscopic screen,Use a slender body to translate/rotate/scale a 3D fiber volume rendering by two-handed positioning+rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Unreachable,Not impacted within the accessible distance.,Discrete,"1. The pen-shaped rolled paper (pen-shaped and lightweight handheld prop) is in user's hand.
2. The pen-shaped rolled paper (pen-shaped and lightweight handheld prop) is discrete from the 3D visualization.
3. The 3D visualization is away from the user."
13,CHI,3D Interaction,https://dl.acm.org/doi/10.1145/1978942.1979140,"Song, Peng and Goh, Wooi Boon and Fu, Chi-Wing and Meng, Qiang and Heng, Pheng-Ann","@inproceedings{10.1145/1978942.1979140,
author = {Song, Peng and Goh, Wooi Boon and Fu, Chi-Wing and Meng, Qiang and Heng, Pheng-Ann},
title = {WYSIWYF: exploring and annotating volume data with a tangible handheld device},
year = {2011},
isbn = {9781450302289},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1978942.1979140},
doi = {10.1145/1978942.1979140},
abstract = {Visual exploration of volume data often requires the user to manipulate the orientation and position of a slicing plane in order to observe, annotate or measure its internal structures. Such operations, with its many degrees of freedom in 3D space, map poorly into interaction modalities afforded by mouse-keyboard interfaces or flat multi-touch displays alone. We addressed this problem using a what-you-see-is-what-you-feel (WYSIWYF) approach, which integrates the natural user interface of a multi-touch wall display with the untethered physical dexterity provided by a handheld device with multi-touch and 3D-tilt sensing capabilities. A slicing plane can be directly and intuitively manipulated at any desired position within the displayed volume data using a commonly available mobile device such as the iPod touch. 2D image slices can be transferred wirelessly to this small touch screen device, where a novel fast fat finger annotation technique (F3AT) is proposed to perform accurate and speedy contour drawings. Our user studies support the efficacy of our proposed visual exploration and annotation interaction designs.},
booktitle = {Proceedings of the SIGCHI Conference on Human Factors in Computing Systems},
pages = {1333每1342},
numpages = {10},
keywords = {accelerometer, data exploration, handheld devices, multi-touch, user interaction, visual annotation, volume data},
location = {Vancouver, BC, Canada},
series = {CHI '11}
}",WYSIWYF: exploring and annotating volume data with a tangible handheld device,,Small,Double,A virtual widget+A tangible widget,Fully mapped,Rigid,No use,Plate (with Planar surface),A mobile device (with a virtual cutting plane),Planar surface,A virtual cutting plane,One-handed,Positioning+Rotating,Moving a mobile device in space to control a virtual cutting plane for slicing the 3D visualization.,in the room space,"Position,Rotation","Virtual widget: 3DOF translation and 3DOF rotation in the space.
Physical widget: 3DOF translation and 3DOF rotation in the space.",Clipping,3D,3D medical volume rendering,"The image, position and rotation of the slice from the 3D visualization of medical volume data displayed on the mobile device/wall screen.",2D display,Use a planar surface controlled by a plate to clip a 3D medical volume rendering by positioning+rotating.,Reachable,"Virtual: Not impacted within the accessible distance.
Physical: Interaction is possible only if manipulable entity is grabbed by user.",Reachable,Not impacted within the accessible distance.,Crossed,"1. The handheld mobile device is in user's hand.
2. The virtual cutting plane controlled by the handheld mobile device is crossed over the 3D visualization.
3. The 3D visualization is away from the user."
14,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544549.3585797,"Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim","@inproceedings{10.1145/3544549.3585797,
author = {Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim},
title = {Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction},
year = {2023},
isbn = {9781450394222},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544549.3585797},
doi = {10.1145/3544549.3585797},
abstract = {Myriad systems have been proposed in recent years involving situated visualization with tangible scale models as proxies for physical referents. Most of these focus on static placements of scale models that mimic their real-world arrangement. While such static placement is useful to show the spatial context of referents, it does not take full advantage of the potential interaction affordances of the proxies. Our approach, Active Proxy, binds the data representation and referent through physical manipulations of scale models. We introduce a conceptual design space defining four quadrants as combinations of two dimensions: spatial to abstract representation; and passive to active proxy. Our focus is the novel quadrant defined by active proxies and abstract representations. Designing active proxy techniques is non-trivial as users are accustomed to common interaction modalities. This paper presents an initial exploration toward a better understanding of the active proxy concept, and designs of active proxy systems.},
booktitle = {Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {23},
numpages = {7},
keywords = {active proxy, data exploration, proxsituated visualization, situated visualization, tangible interaction},
location = {Hamburg, Germany},
series = {CHI EA '23}
}",Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction,,Small,Single,A tangible widget,N/A,Rigid,No use,Other,A low-fidelity model of buildings,Body,The point represented by low-fidelity model of buildings,One-handed,Positioning,Moving a low-fidelity model of buildings in space to get closer to the 2D chart for selecting the 2D chart.,above the horizontal surface,Position,Physical widget: 3DOF translation in the space.,Looking up,2D,2D bar chart+ 2D line chart,The information of the 2D visualization of buildings energy usage data displayed on the screen.,2D display,Use an other to lookup a 2D bar chart+2D line chart by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Flexible,Not impacted within the accessible distance.,Discrete,"1. The low-fidelity model of buildings is on the desktop or in user's hand.
2. The low-fidelity model of buildings is discrete from the 2D visualization.
3. The 2D visualization is on the desktop."
14,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544549.3585797,"Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim","@inproceedings{10.1145/3544549.3585797,
author = {Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim},
title = {Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction},
year = {2023},
isbn = {9781450394222},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544549.3585797},
doi = {10.1145/3544549.3585797},
abstract = {Myriad systems have been proposed in recent years involving situated visualization with tangible scale models as proxies for physical referents. Most of these focus on static placements of scale models that mimic their real-world arrangement. While such static placement is useful to show the spatial context of referents, it does not take full advantage of the potential interaction affordances of the proxies. Our approach, Active Proxy, binds the data representation and referent through physical manipulations of scale models. We introduce a conceptual design space defining four quadrants as combinations of two dimensions: spatial to abstract representation; and passive to active proxy. Our focus is the novel quadrant defined by active proxies and abstract representations. Designing active proxy techniques is non-trivial as users are accustomed to common interaction modalities. This paper presents an initial exploration toward a better understanding of the active proxy concept, and designs of active proxy systems.},
booktitle = {Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {23},
numpages = {7},
keywords = {active proxy, data exploration, proxsituated visualization, situated visualization, tangible interaction},
location = {Hamburg, Germany},
series = {CHI EA '23}
}",Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction,,Small,Single,A tangible widget,N/A,Rigid,No use,Other,A low-fidelity model of buildings,Body,The point represented by low-fidelity model of buildings,One-handed,Positioning,Moving a low-fidelity model of buildings in space to get closer to the 2D chart for focusing on the 2D chart.,above the horizontal surface,Position,Physical widget: 3DOF translation in the space.,Navigating,2D,2D bar chart+ 2D line chart,The scale of the 2D visualization of buildings energy usage data displayed on the screen.,2D display,Use an other to navigate a 2D bar chart+2D line chart by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Flexible,Not impacted within the accessible distance.,Discrete,"1. The low-fidelity model of buildings is on the desktop or in user's hand.
2. The low-fidelity model of buildings is discrete from the 2D visualization.
3. The 2D visualization is on the desktop."
14,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544549.3585797,"Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim","@inproceedings{10.1145/3544549.3585797,
author = {Satriadi, Kadek Ananta and Ens, Barrett and Goodwin, Sarah and Dwyer, Tim},
title = {Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction},
year = {2023},
isbn = {9781450394222},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544549.3585797},
doi = {10.1145/3544549.3585797},
abstract = {Myriad systems have been proposed in recent years involving situated visualization with tangible scale models as proxies for physical referents. Most of these focus on static placements of scale models that mimic their real-world arrangement. While such static placement is useful to show the spatial context of referents, it does not take full advantage of the potential interaction affordances of the proxies. Our approach, Active Proxy, binds the data representation and referent through physical manipulations of scale models. We introduce a conceptual design space defining four quadrants as combinations of two dimensions: spatial to abstract representation; and passive to active proxy. Our focus is the novel quadrant defined by active proxies and abstract representations. Designing active proxy techniques is non-trivial as users are accustomed to common interaction modalities. This paper presents an initial exploration toward a better understanding of the active proxy concept, and designs of active proxy systems.},
booktitle = {Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {23},
numpages = {7},
keywords = {active proxy, data exploration, proxsituated visualization, situated visualization, tangible interaction},
location = {Hamburg, Germany},
series = {CHI EA '23}
}",Active Proxy Dashboard: Binding Physical Referents and Abstract Data Representations in Situated Visualization through Tangible Interaction,,Small,Single,A tangible widget,N/A,Rigid,No use,Other,A low-fidelity model of buildings,Body,A low-fidelity model of buildings,One-handed,Positioning,Picking up a low-fidelity model of buildings or placing low-fidelity models on small pedestals on desktop for filtering and comparing the 2D chart.,on the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Modulating,2D,2D bar chart+ 2D line chart,The information of the 2D visualization of buildings energy usage data displayed on the screen.,2D display,Use an other to modulate a 2D bar chart+2D line chart by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Flexible,Not impacted within the accessible distance.,Discrete,"1. The low-fidelity model of buildings is on the desktop or in user's hand.
2. The low-fidelity model of buildings is discrete from the 2D visualization.
3. The 2D visualization is on the desktop."
15,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3313831.3376490,"Neate, Timothy and Roper, Abi and Wilson, Stephanie and Marshall, Jane and Cruice, Madeline","@inproceedings{10.1145/3313831.3376490,
author = {Neate, Timothy and Roper, Abi and Wilson, Stephanie and Marshall, Jane and Cruice, Madeline},
title = {CreaTable Content and Tangible Interaction in Aphasia},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376490},
doi = {10.1145/3313831.3376490},
abstract = {Multimedia digital content (combining pictures, text and music) is ubiquitous. The process of creating such content using existing tools typically requires complex, language-laden interactions which pose a challenge for users with aphasia (a language impairment following brain injury). Tangible interactions offer a potential means to address this challenge, however, there has been little work exploring their potential for this purpose. In this paper, we present CreaTable a platform that enables us to explore tangible interaction as a means of supporting digital content creation for people with aphasia. We report details of the co-design of CreaTable and findings from a digital creativity workshop. Workshop findings indicated that CreaTable enabled people with aphasia to create something they would not otherwise have been able to. We report how users' aphasia profiles affected their experience, describe tensions in collaborative content creation and provide insight into more accessible content creation using tangibles.},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1每14},
numpages = {14},
keywords = {accessibility, aphasia, co-design, content creation, creativity, creativity support, multimedia, tangibles},
location = {Honolulu, HI, USA},
series = {CHI '20}
}",CreaTable Content and Tangible Interaction in Aphasia,,Small,Single,A tangible widget,N/A,"Bendable, Foldable, Twistable",No use,Plate,A sheet of printed paper,Planar surface,A sheet of printed paper,One-handed,Positioning,Locating a sheet of printed paper on desktop for adding content at a position on the screen.,on the horizontal surface,Position,Physical widget: 2DOF translation in the plane.,Modulating,2D,2D graphic,The position of the added content displayed on the screen.,2D display,Use a plate to modulate a 2D graphic by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Unreachable,Not impacted within the accessible distance.,Discrete,"1. The sheet of printed paper is on the desktop.
2. The sheet of printed paper is discrete from the 2D graphic.
3. The 2D graphic is on the desktop."
15,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3313831.3376490,"Neate, Timothy and Roper, Abi and Wilson, Stephanie and Marshall, Jane and Cruice, Madeline","@inproceedings{10.1145/3313831.3376490,
author = {Neate, Timothy and Roper, Abi and Wilson, Stephanie and Marshall, Jane and Cruice, Madeline},
title = {CreaTable Content and Tangible Interaction in Aphasia},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376490},
doi = {10.1145/3313831.3376490},
abstract = {Multimedia digital content (combining pictures, text and music) is ubiquitous. The process of creating such content using existing tools typically requires complex, language-laden interactions which pose a challenge for users with aphasia (a language impairment following brain injury). Tangible interactions offer a potential means to address this challenge, however, there has been little work exploring their potential for this purpose. In this paper, we present CreaTable a platform that enables us to explore tangible interaction as a means of supporting digital content creation for people with aphasia. We report details of the co-design of CreaTable and findings from a digital creativity workshop. Workshop findings indicated that CreaTable enabled people with aphasia to create something they would not otherwise have been able to. We report how users' aphasia profiles affected their experience, describe tensions in collaborative content creation and provide insight into more accessible content creation using tangibles.},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1每14},
numpages = {14},
keywords = {accessibility, aphasia, co-design, content creation, creativity, creativity support, multimedia, tangibles},
location = {Honolulu, HI, USA},
series = {CHI '20}
}",CreaTable Content and Tangible Interaction in Aphasia,,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,A 5-sided object,Planar surface,The bottom surface of 5-sided object,One-handed,Rotating,Rotating a 5-sided object orientation on desktop for selecting the word or image in list for adding.,on the horizontal surface,Rotation,Physical widget: 1DOF rotation in the plane.,Looking up,2D,2D graphic,The word or image used to add content displayed on the screen.,2D display,Use a plate to lookup a 2D graphic by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Unreachable,Not impacted within the accessible distance.,Discrete,"1. The 5-sided object is on the desktop.
2. The 5-sided object is discrete from the 2D graphic.
3. The 2D graphic is on the desktop."
16,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544548.3581449,"Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo","@inproceedings{10.1145/3544548.3581449,
author = {Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo},
title = {Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching},
year = {2023},
isbn = {9781450394215},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544548.3581449},
doi = {10.1145/3544548.3581449},
abstract = {This paper introduces Teachable Reality, an augmented reality (AR) prototyping tool for creating interactive tangible AR applications with arbitrary everyday objects. Teachable Reality leverages vision-based interactive machine teaching (e.g., Teachable Machine), which captures real-world interactions for AR prototyping. It identifies the user-defined tangible and gestural interactions using an on-demand computer vision model. Based on this, the user can easily create functional AR prototypes without programming, enabled by a trigger-action authoring interface. Therefore, our approach allows the flexibility, customizability, and generalizability of tangible AR applications that can address the limitation of current marker-based approaches. We explore the design space and demonstrate various AR prototypes, which include tangible and deformable interfaces, context-aware assistants, and body-driven AR applications. The results of our user study and expert interviews confirm that our approach can lower the barrier to creating functional AR prototypes while also allowing flexible and general-purpose prototyping experiences.},
booktitle = {Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {459},
numpages = {15},
keywords = {Augmented Reality, Everyday Objects, Human-Centered Machine Learning;, Interactive Machine Teaching, Mixed Reality, Prototyping Tools, Tangible Interactions},
location = {Hamburg, Germany},
series = {CHI '23}
}",Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching,,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,A card,Planar surface,The bottom surface of card,One-handed,Rotating,Rotating a card orientation in space for changing the displayed information.,above the horizontal surface,Rotation,Physical widget: 1DOF rotation at the plane of the card surface in the space.,Replacing,2D,2D text,The information of the 2D visualization of the card displayed in the augmented reality (screen).,Augmented reality,Use a plate to replace a 2D text by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Aligned,"1. The card is in user's hand.
2. The 2D graphic is aligned with the card.
3. The 2D graphic is above the desktop."
16,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544548.3581449,"Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo","@inproceedings{10.1145/3544548.3581449,
author = {Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo},
title = {Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching},
year = {2023},
isbn = {9781450394215},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544548.3581449},
doi = {10.1145/3544548.3581449},
abstract = {This paper introduces Teachable Reality, an augmented reality (AR) prototyping tool for creating interactive tangible AR applications with arbitrary everyday objects. Teachable Reality leverages vision-based interactive machine teaching (e.g., Teachable Machine), which captures real-world interactions for AR prototyping. It identifies the user-defined tangible and gestural interactions using an on-demand computer vision model. Based on this, the user can easily create functional AR prototypes without programming, enabled by a trigger-action authoring interface. Therefore, our approach allows the flexibility, customizability, and generalizability of tangible AR applications that can address the limitation of current marker-based approaches. We explore the design space and demonstrate various AR prototypes, which include tangible and deformable interfaces, context-aware assistants, and body-driven AR applications. The results of our user study and expert interviews confirm that our approach can lower the barrier to creating functional AR prototypes while also allowing flexible and general-purpose prototyping experiences.},
booktitle = {Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {459},
numpages = {15},
keywords = {Augmented Reality, Everyday Objects, Human-Centered Machine Learning;, Interactive Machine Teaching, Mixed Reality, Prototyping Tools, Tangible Interactions},
location = {Hamburg, Germany},
series = {CHI '23}
}",Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching,,Small,Single,A tangible widget,N/A,Rigid,No use,Spheroid,A lid of a cup,Body,A lid of a cup,One-handed,Positioning,Opening or closing the cup lid on desktop for adjusting the state of playing audio.,on the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Adjusting,Other,Audio,The status of the audio played by the system.,Augmented reality,Use a spheroid to adjust an audio by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The lid is in user's hand.
2. The lid is discrete from the audio player.
3. The audio player is on the desktop."
16,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544548.3581449,"Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo","@inproceedings{10.1145/3544548.3581449,
author = {Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo},
title = {Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching},
year = {2023},
isbn = {9781450394215},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544548.3581449},
doi = {10.1145/3544548.3581449},
abstract = {This paper introduces Teachable Reality, an augmented reality (AR) prototyping tool for creating interactive tangible AR applications with arbitrary everyday objects. Teachable Reality leverages vision-based interactive machine teaching (e.g., Teachable Machine), which captures real-world interactions for AR prototyping. It identifies the user-defined tangible and gestural interactions using an on-demand computer vision model. Based on this, the user can easily create functional AR prototypes without programming, enabled by a trigger-action authoring interface. Therefore, our approach allows the flexibility, customizability, and generalizability of tangible AR applications that can address the limitation of current marker-based approaches. We explore the design space and demonstrate various AR prototypes, which include tangible and deformable interfaces, context-aware assistants, and body-driven AR applications. The results of our user study and expert interviews confirm that our approach can lower the barrier to creating functional AR prototypes while also allowing flexible and general-purpose prototyping experiences.},
booktitle = {Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {459},
numpages = {15},
keywords = {Augmented Reality, Everyday Objects, Human-Centered Machine Learning;, Interactive Machine Teaching, Mixed Reality, Prototyping Tools, Tangible Interactions},
location = {Hamburg, Germany},
series = {CHI '23}
}",Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching,,Small,Single,A tangible widget,N/A,Rigid,No use,Constrained body,A stick with a slider,Straight edge,The slider's motion path along the stick,Symmetric,Positioning,Sliding the slider in space for manipulating the 3D graphic in the plane along a direction.,above the horizontal surface,Position,Physical widget: 1DOF translation in a constrained direction.,Translating/Rotating/Scaling,3D,3D graphic,The position of the 3D graphic of model displayed in the augmented reality (screen).,Augmented reality,Use a constrained body to translate/rotate/scale a 3D graphic by two-handed positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The stick with a slider is in user's hand.
2. The stick with a slider is discrete from the 3D graphic.
2. The 3D graphic is on the desktop."
16,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3544548.3581449,"Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo","@inproceedings{10.1145/3544548.3581449,
author = {Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo},
title = {Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching},
year = {2023},
isbn = {9781450394215},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3544548.3581449},
doi = {10.1145/3544548.3581449},
abstract = {This paper introduces Teachable Reality, an augmented reality (AR) prototyping tool for creating interactive tangible AR applications with arbitrary everyday objects. Teachable Reality leverages vision-based interactive machine teaching (e.g., Teachable Machine), which captures real-world interactions for AR prototyping. It identifies the user-defined tangible and gestural interactions using an on-demand computer vision model. Based on this, the user can easily create functional AR prototypes without programming, enabled by a trigger-action authoring interface. Therefore, our approach allows the flexibility, customizability, and generalizability of tangible AR applications that can address the limitation of current marker-based approaches. We explore the design space and demonstrate various AR prototypes, which include tangible and deformable interfaces, context-aware assistants, and body-driven AR applications. The results of our user study and expert interviews confirm that our approach can lower the barrier to creating functional AR prototypes while also allowing flexible and general-purpose prototyping experiences.},
booktitle = {Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems},
articleno = {459},
numpages = {15},
keywords = {Augmented Reality, Everyday Objects, Human-Centered Machine Learning;, Interactive Machine Teaching, Mixed Reality, Prototyping Tools, Tangible Interactions},
location = {Hamburg, Germany},
series = {CHI '23}
}",Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching,,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,A mobile device,Body,A mobile device,One-handed,Rotating,Flipping a mobile device on desktop for adjusting the state of silent mode.,on the horizontal surface,Rotation,Physical widget: 1DOF rotation in the space.,Adjusting,Other,System,The mode of mobile device notification.,Augmented reality,Use a plate to adjust a system by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Other,N/A.,Other,N/A.
